tcp,tcp.ack,ip.ttl,tcp.seq,tcp.flags.reset,tcp.analysis.ack_rtt,tcp.flags.syn,tcp.flags.ack,tcp.hdr_len,tcp.flags.fin,frame.time_epoch,icmp.type,tcp.analysis.initial_rtt,tcp.len,frame.len
,,"58",,,,,,,,"1661507652.232364000","8",,,"98"
,,"252",,,,,,,,"1661507652.982334000",,,,"102"
,,"255",,,,,,,,"1661507652.982335000",,,,"98"
,,"58",,,,,,,,"1661507653.256400000","8",,,"98"
,,"255",,,,,,,,"1661507653.490598000",,,,"94"
,,"252",,,,,,,,"1661507653.490857000",,,,"98"
,,"58",,,,,,,,"1661507654.284418000","8",,,"98"
,,"58",,,,,,,,"1661507655.308419000","8",,,"98"
,,"58",,,,,,,,"1661507656.332469000","8",,,"98"
,,"58",,,,,,,,"1661507657.356515000","8",,,"98"
"Transmission Control Protocol, Src Port: 41486, Dst Port: 853, Seq: 1, Ack: 1, Len: 0","1","64","1","False",,"False","True","32","False","1661507657.694554000",,,"0","66"
"Transmission Control Protocol, Src Port: 853, Dst Port: 41486, Seq: 1, Ack: 2, Len: 0","2","63","1","False",,"False","True","32","False","1661507657.695741000",,,"0","66"
,,"58",,,,,,,,"1661507658.380555000","8",,,"98"
,,"58",,,,,,,,"1661507659.404488000","8",,,"98"
,,"58",,,,,,,,"1661507660.424545000","8",,,"98"
,,"58",,,,,,,,"1661507661.452556000","8",,,"98"
,,"58",,,,,,,,"1661507662.472586000","8",,,"98"
"Transmission Control Protocol, Src Port: 41486, Dst Port: 853, Seq: 2, Ack: 1, Len: 31","1","64","2","False",,"False","True","32","False","1661507662.687509000",,,"31","97"
"Transmission Control Protocol, Src Port: 41486, Dst Port: 853, Seq: 33, Ack: 1, Len: 0","1","64","33","False",,"False","True","32","True","1661507662.687509000",,,"0","66"
"Transmission Control Protocol, Src Port: 853, Dst Port: 41486, Seq: 1, Ack: 34, Len: 0","34","63","1","False","0.001363000","False","True","32","True","1661507662.688872000",,,"0","66"
"Transmission Control Protocol, Src Port: 41486, Dst Port: 853, Seq: 34, Ack: 2, Len: 0","2","64","34","False","0.013629000","False","True","32","False","1661507662.702501000",,,"0","66"
,,"58",,,,,,,,"1661507663.500653000","8",,,"98"
"Transmission Control Protocol, Src Port: 46523, Dst Port: 8003, Seq: 0, Len: 0","0","255","0","False",,"True","False","40","False","1661507663.514530000",,,"0","74"
"Transmission Control Protocol, Src Port: 46523, Dst Port: 8003, Seq: 0, Len: 0","0","255","0","False",,"True","False","40","False","1661507664.510812000",,,"0","74"
,,"58",,,,,,,,"1661507664.520450000","8",,,"98"
,,"58",,,,,,,,"1661507665.548677000","8",,,"98"
"Transmission Control Protocol, Src Port: 39044, Dst Port: 853, Seq: 1, Ack: 1, Len: 0","1","64","1","False",,"False","True","32","False","1661507666.231628000",,,"0","66"
"Transmission Control Protocol, Src Port: 853, Dst Port: 39044, Seq: 1, Ack: 2, Len: 0","2","63","1","False",,"False","True","32","False","1661507666.232850000",,,"0","66"
"Transmission Control Protocol, Src Port: 46523, Dst Port: 8003, Seq: 0, Len: 0","0","255","0","False",,"True","False","40","False","1661507666.510764000",,,"0","74"
,,"58",,,,,,,,"1661507666.568513000","8",,,"98"
